job_id,company,role,source_url,status,fit_score,draft_ready,review_pass,submitted,follow_up_due_at,follow_up_status,follow_up_stage,last_contact_at,next_follow_up_at,contact_person,follow_up_channel,value_asset_shared,jd_keywords_used,proof_point_used,notes,updated_at
anthropic-editorial-ai-for-science-2025-11-06,Anthropic,"Editorial, AI for Science",,applied,,false,false,true,2025-11-11,scheduled,f2,,2025-12-04,,linkedin,,,,"Messaged Keir Bradwell on Twitter (who posted the job, Waylon sent it to me), added him on LinkedIn, and emailed him | Sent him another email with some writing samples. | Sent another email asking if I should redirect my materials to someone else",2026-02-20
bmf-collective-ea-coordinator-2025-12-01,BMF Collective,EA/Coordinator,,applying,,false,false,true,,,none,,,,linkedin,,,,Messaged https://www.linkedin.com/in/luisalfredoh/on LinkedIn about thehttps://docs.google.com/document/d/1EggMDEpP5DYxXkEETJUWt3pCw17BlE_CLVxSOOp1m-I/edit?tab=t.0,2026-02-20
tanagram-founding-gtm-operator-2025-12-02,Tanagram,Founding GTM Operator,,applied,,false,false,true,,,none,,,,linkedin,,,,"Emailed mailto:kaia@tanagram.ai, added her on LinkedIn with a message",2026-02-20
notion-marketing-strategy-operations-manager-sf-2025-12-03,Notion,Marketing Strategy & Operations Manager (SF),,rejected,,false,false,true,,closed,closed,,,,,,,,Applied on Notion website,2026-02-20
notion-enterprise-product-marketing-manager-workflows-2025-12-03,Notion,"Enterprise Product Marketing Manager, Workflows",,applied,,false,false,true,,,none,,,,,,,,Applied on Notion website,2026-02-20
sf-compute-gtm-generalist-again-2025-12-04,SF Compute,GTM Generalist (again),,applied,,false,false,true,,,none,,,,email,,,,Applied through Ashby and emailed Ethan + Peter with updated materials,2026-02-20
talkiatry-head-of-marketing-technology-2025-12-05,Talkiatry,Head of Marketing Technology,,applied,,false,false,true,,,none,,,,linkedin,,,,Applied through the Talkiatry website and messaged https://www.linkedin.com/in/kristen-drake/overlay/about-this-profile/ (fellow CSU Alumn) on Linked In,2026-02-20
carta-head-of-gtm-content-2026-01-04,Carta,Head of GTM Content,,rejected,,false,false,true,,closed,closed,,,,linkedin,,,,Messaged https://www.linkedin.com/in/ACoAABzKmcEBPKjtsrxO322730xkCfyg0rN1qlk?lipi=urn%3Ali%3Apage%3Ad_flagship3_messaging_conversation_detail%3BIFvLgmZFTNesEi364TJqEQ%3D%3D on LinkedIn,2026-02-20
notion-gtm-engineer-2026-01-06,Notion,GTM Engineer,,applied,,false,false,true,2026-01-09,scheduled,f1,,,,linkedin,,,,Applied on Notion website | Messaged https://www.linkedin.com/in/sean-kelley-9222a041/overlay/about-this-profile/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base%3B2cAfCrG9SdS5SNg60sKRIA%3D%3D and https://www.linkedin.com/in/emmakhansen/overlay/about-this-profile/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base%3BZwoaL%2FC5RbehmV4QDXyG%2BA%3D%3Don LinkedIn to connect,2026-02-20
notion-deal-desk-workflows-manager-2026-01-07,Notion,Deal Desk Workflows Manager,,applied,,false,false,true,,,none,,,,,,,,Applied on Notion website,2026-02-20
notion-content-writer-2026-01-07,Notion,Content Writer,,applied,,false,false,true,,,none,,,,,,,,Applied on Notion website,2026-02-20
agentmail-s25-founding-gtm-lead-2026-01-08,AgentMail (S25),Founding GTM Lead,,applied,,false,false,true,,,none,,,,linkedin,,,,"No real place to apply, sent message to Adi on YCombinator platform, and LinkedIn",2026-02-20
blaxel-founding-technical-growth-marketer-2026-01-08,Blaxel,Founding Technical Growth Marketer,,rejected,,false,false,true,2026-01-21,closed,closed,,,,linkedin,,,,"No real place to apply, sent message to Nicolas on YCombinator platform, and LinkedIn | Replied to Nic on YCombinator platform about setting up a 20 second call",2026-02-20
modern-realty-founding-marketer-head-of-growth-2026-01-08,Modern Realty,Founding Marketer/Head of Growth,,applied,,false,false,true,2026-01-12,scheduled,f1,,,,linkedin,,,,"No real place to apply, sent message to Raffi on YCombinator platform, and LinkedIn | Sent message to Raffi and Raymond on LinkedIn that offered to discuss their workflows",2026-02-20
floot-founding-growth-marketer-2026-01-08,Floot,Founding Growth Marketer,,applied,,false,false,true,,,none,,,,linkedin,,,,"No real place to apply, sent message to Yujian on YCombinator platform, and LinkedIn",2026-02-20
martin-founding-growth-marketer-2026-01-08,Martin,Founding Growth Marketer,,applied,,false,false,true,,,none,,,,linkedin,,,,"No real place to apply, sent message to Dawson (CEO) on YCombinator platform, gmail, and LinkedIn",2026-02-20
sf-compute-opportunistic-role-2026-01-04,SF Compute,Opportunistic Role,,applied,,false,false,true,,,none,,,,email,,,,Applied through Ashby and emailed Ethan + Peter with updated materials,2026-02-20
comfy-ui-senior-non-technical-operator-2026-01-19,Comfy.UI,Senior Non-Technical Operator,,applied,,false,false,true,,,none,,,,linkedin,,,,Messaged Yoland and Robin on LinkedIn,2026-02-20
manta-cares-director-of-marketing-2026-01-19,Manta Cares,Director of Marketing,,applied,,false,false,true,,,none,,,,linkedin,,,,Messaged https://www.linkedin.com/in/julie-thompson-ngo/overlay/about-this-profile/ on LinkedIn,2026-02-20
airwallex-manager-growth-content-marketing-subproduct-specialization-2026-01-19,Airwallex,"Manager, Growth Content Marketing, Subproduct specialization",,applied,,false,false,true,,,none,,,,linkedin,,,,Messaged https://www.linkedin.com/in/acesarz/overlay/about-this-profile/ on LinkedIn,2026-02-20
upwind-marketing-operations-manager-2026-01-19,Upwind,Marketing Operations Manager,,applied,,false,false,true,,,none,,,,linkedin,,,,Messaged https://www.linkedin.com/in/chunghh/overlay/about-this-profile/ on LinkedIn,2026-02-20
upwind-head-of-product-marketing-2026-01-19,Upwind,Head of Product Marketing,,applied,,false,false,true,,,none,,,,linkedin,,,,Messaged https://www.linkedin.com/in/chunghh/overlay/about-this-profile/ on LinkedIn,2026-02-20
relentless-operations-manager-2026-01-19,Relentless,Operations Manager,,applied,,false,false,true,,,none,,,,linkedin,,,,Messaged Kareem on LinkedIn and emailed,2026-02-20
aden-growth-marketing-lead-2026-01-21,Aden,Growth Marketing Lead,,applied,,false,false,true,,,none,,,,,,,,"No real place to apply, sent message to Vincent on YCombinator platform | They sent me a like… quest to carry out and it made me feel a bit in over my head. I started it",2026-02-20
legion-health-seo-growth-lead-2026-01-21,Legion Health,SEO/Growth Lead,,applied,,false,false,true,,,none,,,,,,,,"No real place to apply, sent message to Yash on YCombinator platform",2026-02-20
vooma-head-of-growth-demand-2026-01-21,Vooma,Head of Growth / Demand,,applied,,false,false,true,,,none,,,,,,,,"No real place to apply, sent message to Jesse on YCombinator platform",2026-02-20
blink-performance-growth-marketing-2026-01-21,Blink,Performance / Growth Marketing,,applied,,false,false,true,,,none,,,,,,,,"No real place to apply, sent message to Kai on YCombinator platform",2026-02-20
mocha-growth-marketing-2026-01-21,Mocha,Growth Marketing,,applied,,false,false,true,,,none,,,,,,,,"No real place to apply, sent message to Nicholas on YCombinator platform",2026-02-20
upwind-creative-content-marketing-manager-remote-2026-01-29,Upwind,Creative Content Marketing Manager (Remote),,applied,,false,false,true,,,none,,,,,,,,Applied on website… didn’t message Helen again bc I did on the 19th… ugh,2026-02-20
adobe-https-adobe-wd5-myworkdayjobs-com-en-us-external-experienced-job-public-relations-manager-r162704-2026-02-03,Adobe,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Public-Relations-Manager_R162704,,applied,,false,false,true,,,none,,,,,,,,,2026-02-20
